SNID,IAUC,FAKE,RA,DEC,PIXSIZE,NXPIX,NYPIX,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,VPEC,VPEC_ERR,HOSTGAL_NMATCH,HOSTGAL_NMATCH2,HOSTGAL_OBJID,HOSTGAL_FLAG,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SNSEP,HOSTGAL_DDLR,HOSTGAL_CONFUSION,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_LOGSFR,HOSTGAL_LOGSFR_ERR,HOSTGAL_LOGsSFR,HOSTGAL_LOGsSFR_ERR,HOSTGAL_COLOR,HOSTGAL_COLOR_ERR,HOSTGAL_ELLIPTICITY,HOSTGAL_OBJID2,HOSTGAL_SQRADIUS,HOSTGAL_OBJID_UNIQUE,HOSTGAL_MAG_u,HOSTGAL_MAG_g,HOSTGAL_MAG_r,HOSTGAL_MAG_i,HOSTGAL_MAG_z,HOSTGAL_MAG_Y,HOSTGAL_MAGERR_u,HOSTGAL_MAGERR_g,HOSTGAL_MAGERR_r,HOSTGAL_MAGERR_i,HOSTGAL_MAGERR_z,HOSTGAL_MAGERR_Y,HOSTGAL2_OBJID,HOSTGAL2_FLAG,HOSTGAL2_PHOTOZ,HOSTGAL2_PHOTOZ_ERR,HOSTGAL2_SPECZ,HOSTGAL2_SPECZ_ERR,HOSTGAL2_RA,HOSTGAL2_DEC,HOSTGAL2_SNSEP,HOSTGAL2_DDLR,HOSTGAL2_LOGMASS,HOSTGAL2_LOGMASS_ERR,HOSTGAL2_LOGSFR,HOSTGAL2_LOGSFR_ERR,HOSTGAL2_LOGsSFR,HOSTGAL2_LOGsSFR_ERR,HOSTGAL2_COLOR,HOSTGAL2_COLOR_ERR,HOSTGAL2_ELLIPTICITY,HOSTGAL2_OBJID2,HOSTGAL2_SQRADIUS,HOSTGAL2_OBJID_UNIQUE,HOSTGAL2_MAG_u,HOSTGAL2_MAG_g,HOSTGAL2_MAG_r,HOSTGAL2_MAG_i,HOSTGAL2_MAG_z,HOSTGAL2_MAG_Y,HOSTGAL2_MAGERR_u,HOSTGAL2_MAGERR_g,HOSTGAL2_MAGERR_r,HOSTGAL2_MAGERR_i,HOSTGAL2_MAGERR_z,HOSTGAL2_MAGERR_Y,HOSTGAL_SB_FLUXCAL_u,HOSTGAL_SB_FLUXCAL_g,HOSTGAL_SB_FLUXCAL_r,HOSTGAL_SB_FLUXCAL_i,HOSTGAL_SB_FLUXCAL_z,HOSTGAL_SB_FLUXCAL_Y,PEAKMJD,MJD_TRIGGER,MJD_DETECT_FIRST,MJD_DETECT_LAST,SEARCH_TYPE,SIM_MODEL_NAME,SIM_MODEL_INDEX,SIM_TYPE_INDEX,SIM_TYPE_NAME,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_NOBS_UNDEFINED,SIM_SEARCHEFF_MASK,SIM_REDSHIFT_HELIO,SIM_REDSHIFT_CMB,SIM_REDSHIFT_HOST,SIM_REDSHIFT_FLAG,SIM_VPEC,SIM_HOSTLIB_GALID,SIM_DLMU,SIM_LENSDMU,SIM_RA,SIM_DEC,SIM_MWEBV,SIM_PEAKMJD,SIM_MAGSMEAR_COH,SIM_AV,SIM_RV,SIM_PEAKMAG_u,SIM_PEAKMAG_g,SIM_PEAKMAG_r,SIM_PEAKMAG_i,SIM_PEAKMAG_z,SIM_PEAKMAG_Y,SIM_TEMPLATEMAG_u,SIM_TEMPLATEMAG_g,SIM_TEMPLATEMAG_r,SIM_TEMPLATEMAG_i,SIM_TEMPLATEMAG_z,SIM_TEMPLATEMAG_Y,SIM_EXPOSURE_u,SIM_EXPOSURE_g,SIM_EXPOSURE_r,SIM_EXPOSURE_i,SIM_EXPOSURE_z,SIM_EXPOSURE_Y,SIM_SUBSAMPLE_INDEX
63249,NULL,2,147.3545881380007,-53.892581402532045,0.2,-9,-9,90,184,1,184,1.7146149,0.08573074,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.11,60305.27,60305.27,61195.96,-9,LCLIB,12,90,ZTFDR3VS,1347,23,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,147.35458374023438,-53.892581939697266,0.0,60275.0,0.0,-9.0,-9.0,26.74497,22.159,18.51,16.789515,15.528515,14.804515,26.740341,22.163593,18.520824,16.804142,15.545239,14.822903,1.0,1.0,1.0,1.0,1.0,1.0,-9
77587,NULL,2,127.11359990197072,-41.01337273821942,0.2,-9,-9,90,189,186,374,2.3693147,0.11846574,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.926,60276.348,60276.348,61370.336,-9,LCLIB,12,90,ZTFDR3VS,1351,26,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,127.11360168457031,-41.01337432861328,0.0,60275.0,0.0,-9.0,-9.0,30.644054,25.572878,20.670115,17.681232,15.955821,15.26788,30.982859,26.089281,20.968405,17.844362,16.033354,15.286305,1.0,1.0,1.0,1.0,1.0,1.0,-9
79335,NULL,2,112.6091023399144,-0.20792047774786648,0.2,-9,-9,90,208,376,583,0.108213075,0.005410654,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.703,60275.34,60275.34,61379.332,-9,LCLIB,12,90,ZTFDR3VS,1425,87,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,112.60910034179688,-0.20792047679424286,0.0,60275.0,0.0,-9.0,-9.0,16.203878,15.364919,14.661513,14.174959,14.442257,14.416406,16.132084,15.326864,14.645995,14.17278,14.447649,14.427475,1.0,1.0,1.0,1.0,1.0,1.0,-9
57239,NULL,2,107.34228915986016,-4.019303464271017,0.2,-9,-9,90,216,585,800,0.32266587,0.016133294,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60276.92,60275.336,60275.336,61379.32,-9,LCLIB,12,90,ZTFDR3VS,1512,122,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,107.34229278564453,-4.019303321838379,0.0,60275.0,0.0,-9.0,-9.0,29.113493,24.03704,19.723814,17.284813,16.248587,15.03136,28.883816,23.839321,19.548592,17.123102,16.095673,14.88439,1.0,1.0,1.0,1.0,1.0,1.0,-9
296354,NULL,2,123.51615945780281,-37.77172649156862,0.2,-9,-9,90,199,802,1000,1.1323904,0.056619518,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.05,60296.344,60296.344,61176.96,-9,LCLIB,12,90,ZTFDR3VS,1717,200,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,123.51615905761719,-37.771724700927734,0.0,60275.0,0.0,-9.0,-9.0,26.503,22.31055,18.77555,16.89255,14.909101,14.626101,26.710655,22.46896,18.901278,16.997187,15.000253,14.7084465,1.0,1.0,1.0,1.0,1.0,1.0,-9
106428,NULL,2,200.74102952312353,-50.32649128578648,0.2,-9,-9,190,208,1002,1209,0.14898399,0.007449199,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.094,60334.35,60334.35,61218.957,-9,LCLIB,12,90,ZTFDR3VS,2051,264,1,0,5,0.0,0.0,0.0,2,-0.0,-9,0.0,0.0,200.74102783203125,-50.32649230957031,0.0,60275.0,0.0,-9.0,-9.0,31.0,31.0,27.72203,23.27744,20.790142,19.072847,31.0,31.0,27.801655,23.306541,20.78676,19.047684,1.0,1.0,1.0,1.0,1.0,1.0,-9
224741,NULL,2,110.76294267768635,-26.592877765658148,0.2,-9,-9,190,186,1211,1396,0.31528932,0.015764466,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.52,60302.316,60302.316,61124.09,-9,LCLIB,12,90,ZTFDR3VS,2412,408,1,0,5,0.0,0.0,0.0,2,0.0,-9,0.0,0.0,110.762939453125,-26.592878341674805,0.0,60275.0,0.0,-9.0,-9.0,31.0,31.0,28.700264,24.009872,21.201874,19.912872,31.0,31.0,28.877499,24.10978,21.252674,19.930676,1.0,1.0,1.0,1.0,1.0,1.0,-9
47690,NULL,2,112.71043749638703,-13.375978361182925,0.2,-9,-9,90,205,1398,1602,0.36096287,0.018048143,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.31,60284.324,60284.324,61378.33,-9,LCLIB,12,90,ZTFDR3VS,2439,410,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,112.71043395996094,-13.375978469848633,0.0,60275.0,0.0,-9.0,-9.0,25.387545,21.529772,18.299,16.088114,15.379228,15.155114,25.18536,21.49065,18.354282,16.191013,15.508473,15.300505,1.0,1.0,1.0,1.0,1.0,1.0,-9
244706,NULL,2,138.1387992832592,-53.68402099686286,0.2,-9,-9,90,192,1604,1795,0.63561565,0.031780783,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.203,60303.324,60303.324,61370.35,-9,LCLIB,12,90,ZTFDR3VS,2568,431,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,138.1387939453125,-53.68402099609375,0.0,60275.0,0.0,-9.0,-9.0,31.0,29.124914,23.270914,19.229435,16.673435,15.322913,31.0,29.008444,23.156443,19.115942,16.561195,15.211195,1.0,1.0,1.0,1.0,1.0,1.0,-9
20649,NULL,2,100.74253851614039,-27.65554429614007,0.2,-9,-9,90,197,1797,1993,0.07292712,0.003646356,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60273.664,60275.355,60275.355,61378.324,-9,LCLIB,12,90,ZTFDR3VS,2795,484,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,100.74253845214844,-27.65554428100586,0.0,60275.0,0.0,-9.0,-9.0,16.991,15.293933,14.871865,14.484331,14.244865,14.211331,17.021997,15.307266,14.873265,14.477998,14.233736,14.197238,1.0,1.0,1.0,1.0,1.0,1.0,-9
