SNID,IAUC,FAKE,RA,DEC,PIXSIZE,NXPIX,NYPIX,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,VPEC,VPEC_ERR,HOSTGAL_NMATCH,HOSTGAL_NMATCH2,HOSTGAL_OBJID,HOSTGAL_FLAG,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SNSEP,HOSTGAL_DDLR,HOSTGAL_CONFUSION,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_LOGSFR,HOSTGAL_LOGSFR_ERR,HOSTGAL_LOGsSFR,HOSTGAL_LOGsSFR_ERR,HOSTGAL_COLOR,HOSTGAL_COLOR_ERR,HOSTGAL_ELLIPTICITY,HOSTGAL_OBJID2,HOSTGAL_SQRADIUS,HOSTGAL_OBJID_UNIQUE,HOSTGAL_MAG_u,HOSTGAL_MAG_g,HOSTGAL_MAG_r,HOSTGAL_MAG_i,HOSTGAL_MAG_z,HOSTGAL_MAG_Y,HOSTGAL_MAGERR_u,HOSTGAL_MAGERR_g,HOSTGAL_MAGERR_r,HOSTGAL_MAGERR_i,HOSTGAL_MAGERR_z,HOSTGAL_MAGERR_Y,HOSTGAL2_OBJID,HOSTGAL2_FLAG,HOSTGAL2_PHOTOZ,HOSTGAL2_PHOTOZ_ERR,HOSTGAL2_SPECZ,HOSTGAL2_SPECZ_ERR,HOSTGAL2_RA,HOSTGAL2_DEC,HOSTGAL2_SNSEP,HOSTGAL2_DDLR,HOSTGAL2_LOGMASS,HOSTGAL2_LOGMASS_ERR,HOSTGAL2_LOGSFR,HOSTGAL2_LOGSFR_ERR,HOSTGAL2_LOGsSFR,HOSTGAL2_LOGsSFR_ERR,HOSTGAL2_COLOR,HOSTGAL2_COLOR_ERR,HOSTGAL2_ELLIPTICITY,HOSTGAL2_OBJID2,HOSTGAL2_SQRADIUS,HOSTGAL2_OBJID_UNIQUE,HOSTGAL2_MAG_u,HOSTGAL2_MAG_g,HOSTGAL2_MAG_r,HOSTGAL2_MAG_i,HOSTGAL2_MAG_z,HOSTGAL2_MAG_Y,HOSTGAL2_MAGERR_u,HOSTGAL2_MAGERR_g,HOSTGAL2_MAGERR_r,HOSTGAL2_MAGERR_i,HOSTGAL2_MAGERR_z,HOSTGAL2_MAGERR_Y,HOSTGAL_SB_FLUXCAL_u,HOSTGAL_SB_FLUXCAL_g,HOSTGAL_SB_FLUXCAL_r,HOSTGAL_SB_FLUXCAL_i,HOSTGAL_SB_FLUXCAL_z,HOSTGAL_SB_FLUXCAL_Y,PEAKMJD,MJD_TRIGGER,MJD_DETECT_FIRST,MJD_DETECT_LAST,SEARCH_TYPE,SIM_MODEL_NAME,SIM_MODEL_INDEX,SIM_TYPE_INDEX,SIM_TYPE_NAME,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_NOBS_UNDEFINED,SIM_SEARCHEFF_MASK,SIM_REDSHIFT_HELIO,SIM_REDSHIFT_CMB,SIM_REDSHIFT_HOST,SIM_REDSHIFT_FLAG,SIM_VPEC,SIM_HOSTLIB_GALID,SIM_DLMU,SIM_LENSDMU,SIM_RA,SIM_DEC,SIM_MWEBV,SIM_PEAKMJD,SIM_MAGSMEAR_COH,SIM_AV,SIM_RV,SIM_PEAKMAG_u,SIM_PEAKMAG_g,SIM_PEAKMAG_r,SIM_PEAKMAG_i,SIM_PEAKMAG_z,SIM_PEAKMAG_Y,SIM_TEMPLATEMAG_u,SIM_TEMPLATEMAG_g,SIM_TEMPLATEMAG_r,SIM_TEMPLATEMAG_i,SIM_TEMPLATEMAG_z,SIM_TEMPLATEMAG_Y,SIM_EXPOSURE_u,SIM_EXPOSURE_g,SIM_EXPOSURE_r,SIM_EXPOSURE_i,SIM_EXPOSURE_z,SIM_EXPOSURE_Y,SIM_SUBSAMPLE_INDEX
21111845,NULL,2,201.75866650840186,-51.36361975112551,0.2,-9,-9,183,196,1,196,0.22225434,0.011112717,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.99,60383.33,60383.33,60383.33,-9,LCLIB,12,83,PHOEBE,248,1,1,0,5,0.0,0.0,0.0,2,-0.0,-9,0.0,0.0,201.7586669921875,-51.36362075805664,0.22725415,60275.0,0.0,-9.0,-9.0,24.423597,22.296068,22.41528,22.87843,23.3954,24.377232,24.43687,22.308355,22.427324,22.890474,23.407959,24.388966,1.0,1.0,1.0,1.0,1.0,1.0,-9
22830869,NULL,2,207.39530747521965,-42.0296791248214,0.2,-9,-9,83,197,198,394,0.09035129,0.0045175646,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.508,60355.348,60355.348,61241.977,-9,LCLIB,12,83,PHOEBE,250,9,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,207.3953094482422,-42.02967834472656,0.0875514,60275.0,0.0,-9.0,-9.0,19.971151,17.154028,16.819958,17.011932,17.390846,18.272963,19.977783,17.160435,16.826643,17.018126,17.39718,18.279047,1.0,1.0,1.0,1.0,1.0,1.0,-9
42062964,NULL,2,81.91589973087967,2.1657202756548433,0.2,-9,-9,83,215,396,610,0.12321407,0.0061607035,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.633,60279.258,60279.258,61379.27,-9,LCLIB,12,83,PHOEBE,259,19,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,81.91590118408203,2.165720224380493,0.12520559,60275.0,0.0,-9.0,-9.0,18.968151,16.051836,15.63203,15.773489,16.113562,16.973406,18.957832,16.037043,15.615848,15.755599,16.096193,16.955297,1.0,1.0,1.0,1.0,1.0,1.0,-9
53427655,NULL,2,129.30842444214682,-22.4770716190254,0.2,-9,-9,83,195,612,806,0.08841904,0.0044209524,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.55,60326.29,60326.29,61157.04,-9,LCLIB,12,83,PHOEBE,263,27,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,129.3084259033203,-22.47707176208496,0.09062001,60275.0,0.0,-9.0,-9.0,24.440472,21.331985,20.783928,20.841148,21.13488,21.960993,24.505615,21.396336,20.847431,20.90324,21.196291,22.020605,1.0,1.0,1.0,1.0,1.0,1.0,-9
24416557,NULL,2,280.4279916451224,-32.991592717428226,0.2,-9,-9,83,181,808,988,0.102308564,0.005115428,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.39,60443.426,60443.426,61317.0,-9,LCLIB,12,83,PHOEBE,277,67,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,280.427978515625,-32.99159240722656,0.09285109,60275.0,0.0,-9.0,-9.0,22.680893,19.381252,18.695732,18.663668,18.90127,19.68893,22.711582,19.394386,18.700167,18.664045,18.899426,19.686056,1.0,1.0,1.0,1.0,1.0,1.0,-9
7804730,NULL,2,116.4870712128392,2.8349577953384166,0.2,-9,-9,83,193,990,1182,0.04060557,0.0020302786,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60276.01,60313.26,60313.26,60777.02,-9,LCLIB,12,83,PHOEBE,280,88,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,116.48706817626953,2.8349578380584717,0.04312252,60275.0,0.0,-9.0,-9.0,20.058289,17.973408,18.174044,18.680405,19.255386,20.262623,20.058289,17.973408,18.174044,18.680655,19.255386,20.262623,1.0,1.0,1.0,1.0,1.0,1.0,-9
40253885,NULL,2,157.63999417262468,-5.791234128373666,0.2,-9,-9,83,206,1184,1389,0.03340841,0.0016704205,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60273.85,60323.324,60323.324,61190.004,-9,LCLIB,12,83,PHOEBE,305,96,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,157.63999938964844,-5.791234016418457,0.031208288,60275.0,0.0,-9.0,-9.0,22.784847,19.910364,19.553259,19.727427,20.104492,20.98098,22.702286,19.833961,19.481192,19.658916,20.037264,20.916021,1.0,1.0,1.0,1.0,1.0,1.0,-9
4445337,NULL,2,70.18479200850074,-32.695926236012426,0.2,-9,-9,83,195,1391,1585,0.017980315,0.00089901575,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.88,60277.293,60277.293,61379.293,-9,LCLIB,12,83,PHOEBE,309,103,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,70.1847915649414,-32.695926666259766,0.016892266,60275.0,0.0,-9.0,-9.0,19.713026,16.775444,16.379066,16.528414,16.89279,17.760181,19.73068,16.791618,16.394,16.542852,16.906733,17.77363,1.0,1.0,1.0,1.0,1.0,1.0,-9
8498348,NULL,2,150.13748285467884,-25.665169979168102,0.2,-9,-9,83,188,1587,1774,0.058710236,0.0029355118,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.758,60413.164,60413.164,61194.996,-9,LCLIB,12,83,PHOEBE,314,108,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,150.13748168945312,-25.665170669555664,0.060565595,60275.0,0.0,-9.0,-9.0,19.697924,17.492887,17.599579,18.052973,18.59305,19.579529,19.697924,17.492887,17.60008,18.052973,18.59305,19.579529,1.0,1.0,1.0,1.0,1.0,1.0,-9
37129252,NULL,2,95.26498832167492,1.3855898166912783,0.2,-9,-9,83,211,1776,1986,0.502894,0.025144698,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60277.215,60292.25,60292.25,61032.188,-9,LCLIB,12,83,PHOEBE,316,109,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,95.2649917602539,1.385589838027954,0.5221523,60275.0,0.0,-9.0,-9.0,25.266651,22.06019,21.322021,21.292673,21.465073,22.239632,25.277628,22.06942,21.331503,21.301155,21.473806,22.247364,1.0,1.0,1.0,1.0,1.0,1.0,-9
