SNID,IAUC,FAKE,RA,DEC,PIXSIZE,NXPIX,NYPIX,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,VPEC,VPEC_ERR,HOSTGAL_NMATCH,HOSTGAL_NMATCH2,HOSTGAL_OBJID,HOSTGAL_FLAG,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SNSEP,HOSTGAL_DDLR,HOSTGAL_CONFUSION,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_LOGSFR,HOSTGAL_LOGSFR_ERR,HOSTGAL_LOGsSFR,HOSTGAL_LOGsSFR_ERR,HOSTGAL_COLOR,HOSTGAL_COLOR_ERR,HOSTGAL_ELLIPTICITY,HOSTGAL_OBJID2,HOSTGAL_SQRADIUS,HOSTGAL_OBJID_UNIQUE,HOSTGAL_MAG_u,HOSTGAL_MAG_g,HOSTGAL_MAG_r,HOSTGAL_MAG_i,HOSTGAL_MAG_z,HOSTGAL_MAG_Y,HOSTGAL_MAGERR_u,HOSTGAL_MAGERR_g,HOSTGAL_MAGERR_r,HOSTGAL_MAGERR_i,HOSTGAL_MAGERR_z,HOSTGAL_MAGERR_Y,HOSTGAL2_OBJID,HOSTGAL2_FLAG,HOSTGAL2_PHOTOZ,HOSTGAL2_PHOTOZ_ERR,HOSTGAL2_SPECZ,HOSTGAL2_SPECZ_ERR,HOSTGAL2_RA,HOSTGAL2_DEC,HOSTGAL2_SNSEP,HOSTGAL2_DDLR,HOSTGAL2_LOGMASS,HOSTGAL2_LOGMASS_ERR,HOSTGAL2_LOGSFR,HOSTGAL2_LOGSFR_ERR,HOSTGAL2_LOGsSFR,HOSTGAL2_LOGsSFR_ERR,HOSTGAL2_COLOR,HOSTGAL2_COLOR_ERR,HOSTGAL2_ELLIPTICITY,HOSTGAL2_OBJID2,HOSTGAL2_SQRADIUS,HOSTGAL2_OBJID_UNIQUE,HOSTGAL2_MAG_u,HOSTGAL2_MAG_g,HOSTGAL2_MAG_r,HOSTGAL2_MAG_i,HOSTGAL2_MAG_z,HOSTGAL2_MAG_Y,HOSTGAL2_MAGERR_u,HOSTGAL2_MAGERR_g,HOSTGAL2_MAGERR_r,HOSTGAL2_MAGERR_i,HOSTGAL2_MAGERR_z,HOSTGAL2_MAGERR_Y,HOSTGAL_SB_FLUXCAL_u,HOSTGAL_SB_FLUXCAL_g,HOSTGAL_SB_FLUXCAL_r,HOSTGAL_SB_FLUXCAL_i,HOSTGAL_SB_FLUXCAL_z,HOSTGAL_SB_FLUXCAL_Y,PEAKMJD,MJD_TRIGGER,MJD_DETECT_FIRST,MJD_DETECT_LAST,SEARCH_TYPE,SIM_MODEL_NAME,SIM_MODEL_INDEX,SIM_TYPE_INDEX,SIM_TYPE_NAME,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_NOBS_UNDEFINED,SIM_SEARCHEFF_MASK,SIM_REDSHIFT_HELIO,SIM_REDSHIFT_CMB,SIM_REDSHIFT_HOST,SIM_REDSHIFT_FLAG,SIM_VPEC,SIM_HOSTLIB_GALID,SIM_DLMU,SIM_LENSDMU,SIM_RA,SIM_DEC,SIM_MWEBV,SIM_PEAKMJD,SIM_MAGSMEAR_COH,SIM_AV,SIM_RV,SIM_PEAKMAG_u,SIM_PEAKMAG_g,SIM_PEAKMAG_r,SIM_PEAKMAG_i,SIM_PEAKMAG_z,SIM_PEAKMAG_Y,SIM_TEMPLATEMAG_u,SIM_TEMPLATEMAG_g,SIM_TEMPLATEMAG_r,SIM_TEMPLATEMAG_i,SIM_TEMPLATEMAG_z,SIM_TEMPLATEMAG_Y,SIM_EXPOSURE_u,SIM_EXPOSURE_g,SIM_EXPOSURE_r,SIM_EXPOSURE_i,SIM_EXPOSURE_z,SIM_EXPOSURE_Y,SIM_SUBSAMPLE_INDEX
39592588,NULL,2,311.99196868398315,-4.6285535329281124,0.2,-9,-9,80,207,1,207,0.052994933,0.0026497466,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.04,60420.418,60420.418,61338.055,-9,LCLIB,12,80,LSSTSIM_,37961,427,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,311.9919738769531,-4.62855339050293,0.05310658,60275.0,0.0,-9.0,-9.0,20.53312,18.487192,18.014723,17.854868,17.784208,17.768776,20.274216,18.194902,17.745838,17.598186,17.563608,17.548353,1.0,1.0,1.0,1.0,1.0,1.0,-9
64591611,NULL,2,137.77490822306999,-53.58394548488032,0.2,-9,-9,80,192,209,400,0.63561565,0.031780783,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.438,60303.324,60303.324,61370.35,-9,LCLIB,12,80,LSSTSIM_,6288,431,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,137.77490234375,-53.583946228027344,0.6606824,60275.0,0.0,-9.0,-9.0,22.369654,19.62828,18.572964,18.082096,17.746765,17.565533,21.985386,19.206812,18.276617,17.86315,17.546602,17.365864,1.0,1.0,1.0,1.0,1.0,1.0,-9
20797163,NULL,2,158.60997257864642,-60.70548023293438,0.2,-9,-9,80,191,402,592,0.7009631,0.035048153,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.336,60301.355,60301.355,61195.965,-9,LCLIB,12,80,LSSTSIM_,44973,444,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,158.60997009277344,-60.70547866821289,0.7036567,60275.0,0.0,-9.0,-9.0,22.426119,19.78322,18.602394,18.051403,17.715866,17.525911,22.04045,19.29668,18.243393,17.762165,17.423037,17.233082,1.0,1.0,1.0,1.0,1.0,1.0,-9
65536471,NULL,2,306.2414643347886,-10.128730972096138,0.2,-9,-9,80,204,594,797,0.052268643,0.0026134322,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.59,60398.414,60398.414,61329.074,-9,LCLIB,12,80,LSSTSIM_,32562,446,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,306.241455078125,-10.128730773925781,0.051730458,60275.0,0.0,-9.0,-9.0,18.61813,16.594143,16.633957,16.776243,16.807375,16.803734,19.041365,16.998943,16.901491,16.953579,16.977697,16.973785,1.0,1.0,1.0,1.0,1.0,1.0,-9
21646919,NULL,2,192.9312251044768,-50.087428178964714,0.2,-9,-9,80,197,799,995,0.18101874,0.009050936,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.535,60329.363,60329.363,61235.996,-9,LCLIB,12,80,LSSTSIM_,10567,448,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,192.9312286376953,-50.08742904663086,0.17606306,60275.0,0.0,-9.0,-9.0,19.720959,17.48771,17.143583,17.052547,16.991043,16.947624,19.909931,17.696064,17.28934,17.162455,17.096083,17.052773,1.0,1.0,1.0,1.0,1.0,1.0,-9
54474812,NULL,2,187.62675485297385,-34.38474458045107,0.2,-9,-9,80,187,997,1183,0.05454974,0.002727487,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.098,60320.348,60320.348,61236.004,-9,LCLIB,12,80,LSSTSIM_,14017,452,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,187.6267547607422,-34.384742736816406,0.05946559,60275.0,0.0,-9.0,-9.0,20.105713,18.00082,17.978645,18.062668,18.140305,18.134083,20.06618,17.951723,17.931904,18.030516,18.109169,18.102947,1.0,1.0,1.0,1.0,1.0,1.0,-9
24641865,NULL,2,49.08177209608552,-53.05833166915115,0.2,-9,-9,80,210,1185,1394,0.021176763,0.0010588381,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.58,60281.12,60281.12,61378.207,-9,LCLIB,12,80,LSSTSIM_,12452,454,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,49.08177185058594,-53.05833053588867,0.020545045,60275.0,0.0,-9.0,-9.0,18.208572,16.216694,16.180305,16.284819,16.35433,16.358725,18.429953,16.437428,16.353922,16.415363,16.468187,16.472353,1.0,1.0,1.0,1.0,1.0,1.0,-9
66892712,NULL,2,107.29738051695648,2.156759638764595,0.2,-9,-9,80,200,1396,1595,0.19425084,0.0097125415,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60276.387,60282.348,60282.348,61379.324,-9,LCLIB,12,80,LSSTSIM_,9616,461,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,107.29737854003906,2.156759738922119,0.20555678,60275.0,0.0,-9.0,-9.0,19.409504,17.127762,16.834192,16.75519,16.709337,16.655262,19.61607,17.334833,16.999285,16.883593,16.828598,16.775028,1.0,1.0,1.0,1.0,1.0,1.0,-9
17883420,NULL,2,186.31900871314969,-42.45337164385278,0.2,-9,-9,80,195,1597,1791,0.08135858,0.004067929,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60275.65,60329.363,60329.363,61225.973,-9,LCLIB,12,80,LSSTSIM_,5986,462,1,0,3,0.0,0.0,0.0,1,0.0,-9,0.0,0.0,186.3190155029297,-42.453372955322266,0.08059937,60275.0,0.0,-9.0,-9.0,19.043955,16.960028,16.87615,16.946566,17.007944,16.995956,19.231274,17.055279,17.011305,17.055927,17.105103,17.09237,1.0,1.0,1.0,1.0,1.0,1.0,-9
52233541,NULL,2,80.95896160017219,-18.01957299783796,0.2,-9,-9,80,206,1793,1998,0.05293981,0.0026469906,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0,0,-9,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-99.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0,0,-9.0,-9.0,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,60274.69,60279.34,60279.34,61378.297,-9,LCLIB,12,80,LSSTSIM_,13714,471,1,0,3,0.0,0.0,0.0,1,-0.0,-9,0.0,0.0,80.9589614868164,-18.019573211669922,0.056796417,60275.0,0.0,-9.0,-9.0,19.168955,17.132612,16.850296,16.7714,16.778402,16.767466,19.051056,16.986814,16.728045,16.714329,16.702242,16.690979,1.0,1.0,1.0,1.0,1.0,1.0,-9
